Nom,Origines,Pitch,Rang 1,Rang 2,Rang 3,,,,,,,,,,,,,,,,,,,,,,,,
Revers,,Main Gauche => contre attaque d'attrition,"Lorsque le personnage est en mesure de réaliser une contre attaque via une main gauche, il peux à la placer réaliser une représaille : Le test est identique mais l'attaque résultant est totalement convertie en attrition, cependant l'attaque voit sa catégorie réduite de 1",Pas de pénalité de catégorie,La pénalité de catégorie est remplacée par un bonus,,,,,,,,,,,,,,,,,,,,,,,,
Sentinelle,,Action de défense en prévention (posture),"Le personnage peux réaliser des actions de défense préventives, l'action prend la forme d'une posture qui active les effets de la défense lorsqu'une attaque surviens, la posture est annulée après une occurences de ces effets, il n'est pas possible de modifier le résultat de l'action après coup (pour s'adapter à la difficulté de l'attaque), ces actions sont désavantagées, les adversaires savent que cette posture est active et ses effets du premier coup d'oeil","Au choix: L'action de défense préventive n'est pas désavantagée, l'action de défense préventive peux être activée jusqu'à 2 fois avant que la posture ne soit annulée, l'adversaire n'est pas en mesure de reconnaitre la posture d'un coup d'oeil, une activation de la posture peux prendre la forme d'une contre attaque ou riposte (selon le cas), une défense préventive qui échoue ne compte pas dans les activations, une défense préventive qui échoue peux être remplacée par une nouvelle action de défense (cette action n'est pas gratuite)",Peux appliquer deux choix à la fois,,,,,,,,,,,,,,,,,,,,,,,,
Acharnement,,Hache => Dégats accrus sur cible blessée,Si le personnage porte une attaque sur une cible ayant au moins une blessure via une hache les dégats sont augmentés de 2,Le bonus passe à 4,Le bonus passe à 6,,,,,,,,,,,,,,,,,,,,,,,,
Initiation,,Katar => Dégats accrus sur cible indemne,Si le personnage porte une attaque sur une cible n'ayant aucune blessure via un katar les dégats sont augmentés de 2,Le bonus passe à 4,Le bonus passe à 6,,,,,,,,,,,,,,,,,,,,,,,,
Écrasement,,Mace => Dégats accrus sur cible au sol,Si le personnage porte une attaque sur une cible au sol les dégats sont augmentés de 2,Le bonus passe à 4,Le bonus passe à 6,,,,,,,,,,,,,,,,,,,,,,,,
Estocade,,Epée => Dégats accrus sur cible qui viens d'être parée,Si le personnage porte une attaque sur une cible dont il a paré l'attaque ce round ci sont les dégats sont augmentés de 2,Le bonus passe à 4,Le bonus passe à 6,,,,,,,,,,,,,,,,,,,,,,,,
Brisure,,Epée => Accentus les ruptures,"Si le personnage porte une attaque qui touche un adversaire doté de condition de rupture, ces dernières sont augmentées de 2 (en plus des effets normaux de l'attaque)",L'augmentation est de 4,L'augmentation est de 6,,,,,,,,,,,,,,,,,,,,,,,,
Allonge,,Lance => Dégats accrus si portée adverse trop faible,Si le personnage porte une attaque sur une cible doté d'une allonge plus de deux fois inférieur à la sienne les dégats sont augmentés de 2,Le bonus passe à 4,Le bonus passe à 6,,,,,,,,,,,,,,,,,,,,,,,,
Robustesse,,Mace => Attaque reçue = Rage,"Lorsque le personnage reçoit une attaque (qu'il n'a pas esquivé et qui le touche) il peux recevoir 2 points de rage, si l'attaque en question est critique il peux recevoir jusqu'à 1 points en plus","Le gain est augmenté de 1, le gain critique également","Le gain est augmenté de 1, le gain critique également",,,,,,,,,,,,,,,,,,,,,,,,
Frénésie,,Hache => Attaque = Rage,"Lorsque le personnage réalise une attaque via sa hache il peux recevoir 2 points de rage, si l'attaque est critique il peux recevoir jusqu'à 1 point en plus","Le gain est augmenté de 1, le gain critique également","Le gain est augmenté de 1, le gain critique également",,,,,,,,,,,,,,,,,,,,,,,,
Muraille,,Mace => Attaque reçue = Garde,"Lorsque le personnage reçoit une attaque (qu'il n'a pas esquivé et qui le touche) il peux recevoir 2 points de garde, si l'attaque en question est critique il peux recevoir jusqu'à 1 points en plus","Le gain est augmenté de 1, le gain critique également","Le gain est augmenté de 1, le gain critique également",,,,,,,,,,,,,,,,,,,,,,,,
Virtuosité,,Arme légère => Attaque esquivée = Adrénaline,"Lorsque le personnage reçoit une attaque et qu'il l'a esquivé via une action d'esquive il peux recevoir 2 points d'adrénaline, si l'attaque en question est critique il peux recevoir jusqu'à 1 points en plus","Le gain est augmenté de 1, le gain critique également","Le gain est augmenté de 1, le gain critique également",,,,,,,,,,,,,,,,,,,,,,,,
Exécution,,Mace => Dégats accrus si la cible est en état de choc,Si le personnage porte une attaque sur une cible en état de choc sont augmentés de 2,Le bonus passe à 4,Le bonus passe à 6,,,,,,,,,,,,,,,,,,,,,,,,
Poigne,,PE > Max PE / 2 : La poigne en trop profite aux jets,"Si le personnage porte une arme dont la charge requise est inférieure à sa capacité de poigne il convertis l'excédant en bonus de jet, à raison de 1 au jet tous les 8 points de trop s'il porte le coup via une arme à une main, ou tous les 4 points s'il porte le coup via une arme à deux mains, ce bonus n'est plus appliqué si le personnage a perdu plus de la moitié de son endurance",1 tous les 6 et 3 points à la place,1 tous les 4 et 2 points à la place,,,,,,,,,,,,,,,,,,,,,,,,
Désespoir,,"PE < 0 : Bonus aux jets infligés, malus de défense accrus",Si le personnage est en état de choc il reçoit un bonus de D8 à ses jets par contre ses défenses baissent encore de 2,En état de choc les D8 ont un minimum augmenté de 2 (donc 3 par défaut),Le bonus est de 2D8 à la place,,,,,,,,,,,,,,,,,,,,,,,,
Enroulement,,Arme flexible permet d'approcher,"Si le personnage touche une cible à l'aide d'une arme flexible il peux décider de profiter de la réussite de son attaque pour approcher de la cible et réaliser ainsi 1/3 du déplacement qui les séparent, il peux évidemment stopper le déplacement avant pour être positionné où il le souhaite",Le déplacement est désormais équivalant à 2/3,Le déplacement est désormais complet et le personnage peux finir son action face à son adversaire,,,,,,,,,,,,,,,,,,,,,,,,
Artificier,,Arme de jet explosif => Maitrise +,Si le personnage fait usage d'arme de jet explosive ses attaques profitent d'une maitrise et expertise augmentée de 1 (les dégats sont plus difficile à réduire via une action de défense ou via le test de réflexe),Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Souffle,,Arme de jet explosif => Portée et Zone +,Si le personnage fait usage d'arme de jet explosive ses attaques ont une portée augmentée de 2,La zone d'impact d'une telle attaque est augmentée de 1,"Le personnage à le choix entre : Les bonus sont doublés, Les alliés dans la zone d'impact subissent mi dégats (réussir une esquive ou sa sauvegarde suffit à réduire les dégats à 0)",,,,,,,,,,,,,,,,,,,,,,,,
Déflagration,,Arme de jet explosif => Dégats massifs,Si le personnage fait usage d'arme de jet explosive et que ses attaques touchent plus d'une cible alors les dégats sont augmentés de 2,Le bonus passe à 3,Le bonus passe à 4,,,,,,,,,,,,,,,,,,,,,,,,
Versatilité,,Arme légère => Alternance distance/mêlée bonus,"Si le personnage touche une cible à l'aide d'une arme légère il marque celle ci, sa prochaine attaque avec un type d'attaque différent (distance ou mêlée) reçoit un bonus de 2, les attaques à distance ne sont compte comme tel que si elles sont effectuées à une distance de tir supérieure à courte (pas de désavantages), la marque dure pour un cycle",Le bonus passe à 4,Le bonus passe à 6,,,,,,,,,,,,,,,,,,,,,,,,
Brise-Barrière,,Dégats sur barrières/déviation/garde,"Lorsqu'une attaque du personnage se heurte à une barrière magique/technologique, de la déviation ou de la garde, ses dégats sont augmentés de 2",Le bonus passe à 4,Le bonus passe à 6,,,,,,,,,,,,,,,,,,,,,,,,
Furtivité,,Arme légère & discret/à revers => Dégats +,"Lorsqu'il porte une attaque sur une cible qui ne connait pas sa position le personnage ajoute 2 de dégats, si la cible est à revers le bonus est de 1",Le bonus passe à 4 et 2,Le bonus passe à 6 et 3,,,,,,,,,,,,,,,,,,,,,,,,
Infiltration,,Arme légère & discret/à revers => Maitrise +,"Lorsqu'il porte une attaque sur une cible à revers l'attaque profite d'une maitrise augmentée de 2, si la cible est à revers le bonus est de 1",Le bonus passe à 4 et 2,Le bonus passe à 6 et 3,,,,,,,,,,,,,,,,,,,,,,,,
Fureur,,"Hache => Jets d'attaque +, le reste -","Une fois par round, si le personnage débute le round avec ce style si le personnage réalise une attaque avec une épée il profite d'un bonus de 2 aux jets, les autres jets de combat sont réduits de D8",Le bonus passe à 3,Le bonus passe à 4,,,,,,,,,,,,,,,,,,,,,,,,
Parangon,,"Epées => Jets de défense +, le reste -","Une fois par round, si le personnage débute le round avec ce style le personnage réalise une défense avec une épée il profite d'un bonus de 2 aux jets, les autres jets de combat sont réduits de D8",Le bonus passe à 3,Le bonus passe à 4,,,,,,,,,,,,,,,,,,,,,,,,
Tacticien,,"Lance => Jets tactique +, le reste -","Une fois par round, si le personnage débute le round avec ce style le personnage réalise une tactique avec une épée il profite d'un bonus de 2 aux jets, les autres jets de combat sont réduits de D8",Le bonus passe à 3,Le bonus passe à 4,,,,,,,,,,,,,,,,,,,,,,,,
Réservoir,,Régénère de la Garde/Rage/Adrénaline,"Chaque round le personnage voit sa Rage/Garde/Adrénaline augmenter de 1 pour 10, ces ressources ont une valeur maximale augmentée de 2","Le regain passe à 3/10, maximum augmenté de 4","Le regain passe à 4/10, maximum augmenté de 6",,,,,,,,,,,,,,,,,,,,,,,,
Opportuniste,,Favorise les opportunités,Le personnage réalisé ses opportunités avec un bonus de 1,Le bonus passe à 2,"Le bonus passe à 3, à la place du bonus le personnage peux faire en sorte que son opportunité repousse la limite de catégorie de 1 (3 au lieu de 2)",,,,,,,,,,,,,,,,,,,,,,,,
Réaction,,Favorise les contre attaques,Le personnage réalisé ses contre attaques avec un bonus de 1,Le bonus passe à 2,"Le bonus passe à 3, à la place du bonus le personnage peux faire en sorte que ses contre attaques repousse la limite de catégorie de 1 (3 au lieu de 2)",,,,,,,,,,,,,,,,,,,,,,,,
Feinte,,Feinte +,Si l'armure du personnage est de catégorie inférieure à l'arme adverse ses tests de feinte sont avantagés,Le personnage ignore jusqu'à un désavantage lié à l'usage de la feinte sur une même cible,Une feinte raté ne provoque pas automatiquement un coup critique,,,,,,,,,,,,,,,,,,,,,,,,
Voltige,,Esquive +,Si l'armure du personnage est de catégorie inférieure à l'arme adverse ses tests de esquive sont avantagés,Les opportunités générées par l'esquive sont désavantagées,Une esquive raté accorde un bonus de défense passif augmentée de 1,,,,,,,,,,,,,,,,,,,,,,,,
Vigilance,,Défenses contre les opportunités,Le personnage reçoit un bonus de 2 en défense passif contre les opportunités,Le bonus passe à 4,"Le bonus passe à 6, de plus le personnage PEUX réaliser une action de défense sur une opportunité",,,,,,,,,,,,,,,,,,,,,,,,
Ancrage,,Statique => Bonus de jets,"Si le personnage ne s'est pas déplacé le round dernier alors il peux profiter d'un bonus de 2 à ses jets de combat, cependant s'il le fait il ne peux plus ce déplacer ce round ci non plus",Le bonus passe à 4,Le bonus passe à 6,,,,,,,,,,,,,,,,,,,,,,,,
Élan,,Mobile => Bonus de tests,Si le personnage s'est déplacé le round dernier et s'est déplacé ce round ci aussi alors il peux profiter d'un bonus de 1 à ses tests de combat,Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Loup,,Sorceleur => école du loup,profite des faiblesses,,,,,,,,,,,,,,,,,,,,,,,,,,
Faucon,,Sorceleur => école du faucon,connnaisance,,,,,,,,,,,,,,,,,,,,,,,,,,
Ours,,Sorceleur => école de l'ours,tank,,,,,,,,,,,,,,,,,,,,,,,,,,
Chat,,Sorceleur => école du chat,revers,,,,,,,,,,,,,,,,,,,,,,,,,,
Vipère,,Sorceleur => école de la vipère,"huile sur les armes, corruption réduite",,,,,,,,,,,,,,,,,,,,,,,,,,
Griffon,,Sorceleur => école du griffon,contre attaque ?,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchimiste,,Substances (huiles/poisons),Lorsqu'une attaque provoque une décharge des substances enduitent sur l'arme du personnage cette décharge est réduite de 2,L'expertise associée aux substances enduitent sur l'arme du personnage augmente de 1,Le personnage est habitué à enduire son arme,,,,,,,,,,,,,,,,,,,,,,,,
Mage-Guerrier,,Magiliège (offensif),Lorsque le personnage attaque il peux dépenser une action rapide afin de lancer un sort offensif de niveau 0 dont l'attaquant sera la cible unique,Le personnage peux choisir entre la possibilité de lancer le sort avec un niveau de 1 supérieur ou une réduction du drain de 4,"Le personnage peux faire deux fois son choix, ils peuvent être les mêmes",,,,,,,,,,,,,,,,,,,,,,,,
Arcane,,Magiliège (défensif),"Lorsque le personnage est attaqué il peux dépenser une action rapide afin de lancer un sort défensif de niveau 0, il en sera la cible unique",Le personnage peux choisir entre la possibilité de lancer le sort avec un niveau de 1 supérieur ou une réduction du drain de 4,"Le personnage peux faire deux fois son choix, ils peuvent être les mêmes",,,,,,,,,,,,,,,,,,,,,,,,
Ténacité,,PE < PE max /2 => Bonus,Le personnage reçoit un bonus de 1 à une de ses actions de combat par round si son endurance actuelle est inférieure à la moitié du maximum,Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Berserker,,Rage dépensée arme intermédiaire+ et sans armure => Jet +,"Si le personnage porte au mieux une armure légère et au moins une arme intermédiaire, ses attaque réalisée profitant de la rage voit son jet augmenté de 1 tous les 7 points de rage dépensés",Le prorata deviens 1 pour 5,Le prorata deviens 1 pour 3,,,,,,,,,,,,,,,,,,,,,,,,
Titan,,Garde dépensée avec bouclier => Jet +,"Si le personnage porte au moins une armure intermédiaire et au moins une arme intermédiaire, ses défense réalisée profitant de la garde voit son jet augmenté de 1 tous les 7 points de garde dépensés",Le prorata deviens 1 pour 5,Le prorata deviens 1 pour 3,,,,,,,,,,,,,,,,,,,,,,,,
Polymorphe,,Deux armes de types différents => Bonus,"Si le personnage tiens une arme au moins intermédiaire d'un type (tranchant/contondant/perforant/flexible/jet) différent dans chaques mains il reçoit un ajustement de 1 à ses tests de combat, il reçoit un bonus à la place si les armes ont en prime une méthode d'utilisation différente (FOR/AGI/DEX/CON/PER), seules les armes offensives (donc pas les boucliers par example) sont considérées pour ce style",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Duel,,Seuls face à un adversaire => Bonus,"Si le personnage réalise une attaque sur un adversaire qui est seul face à lui, donc ni l'un ni l'autre n'ont d'alliés à proximité ou capable de les rejoindre d'un déplacement simple, cette attaque reçoit un bonus de 1",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Démolition,,Contre structure => Différents effets,La difficulté des tests de solidité imposée par l'arme du personnage augmente de 2,Le personnage choisit un parmi: Lorsqu'un objet voit son niveau de détérioration augmenter son possesseur subit une perte de 1D8 points d'endurance; ou sa propre arme est avantagée aux tests de solidité lorsqu'elles attaquent; ou la détérioration générée augmente de 4 (avant test),Le personnage peux choisir deux à la place (et peux choisir deux fois le même effet),,,,,,,,,,,,,,,,,,,,,,,,
Protecteur,,Alliés blessés => Bonus,Les actions de combat du personnage reçoivent un bonus de 1 lorsqu'il protège un allié blessé à proximité (ses actions doivent donc avoir pour objectif de défendre activement un tel allié),Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Citadelle,,Face à plusieurs adversaires => Bonus,"Si le personnage réalise une action de combat et qu'il est seul face à plusieurs adversaires à proximité, donc ces derniers sont activements orientés vers lui et les alliés du personnage sont incapable de le rejoindre d'un déplacement simple, cette attaque reçoit un bonus de 1",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Lion,,Cavalier du Lion => charge +,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aile,,Cavalier du Griffon => défenses +,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drakkon,,Cavalier Drakkon => att +,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aube,,Chevalier de l'Aube => tact +,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pégase,,Cavalier Pégase => mobilité,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derviche,,Cavalier Derviche => opportunités ?,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subjugation,,Sur une cible contrôlée => Bonus,"Si le personnage réalise une action de combat contre un adversaire contrôlé (au sol, désarmé, contraint, mise à porté...) cette dernière reçoit un bonus de 1",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Démoralisation,,Sur une cible démoralisée => Ajustement,"Si le personnage réalise une action de combat contre un adversaire démoralisé (il n'a plus de points de moral) alors celle ci reçoit un ajustement de 1, si la cible a des PS négatifs alors il s'agit d'un bonus à la place",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Enchaînement,,Enchainement,"Une fois par tour si le personnage met hors d'état de nuire une cible, il reçoit l'usufruit d'un pas de placement",A la place du pas de placement le personnage peux réaliser un déplacement ou une attaque restreinte,"Le personnage peux réaliser un déplacement ET une attaque restreinte, ou une attaque normale, au choix",,,,,,,,,,,,,,,,,,,,,,,,
Plénitude,,PE >= PE Max => Ajustement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascèse,,Sans armes/armures => Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danse,,"Armorce ""danse"" => Bonus",,,,,,,,,,,,,,,,,,,,,,,,,,,
Foulée,,"Armorce ""course"" => Bonus",,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrobatie,,"Armorce ""acrobatie"" => Bonus",,,,,,,,,,,,,,,,,,,,,,,,,,,
Équitation,,"Armorce ""équitation"" => Bonus",,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilotage,,"Armorce ""pilotage"" => Bonus",,,,,,,,,,,,,,,,,,,,,,,,,,,
Dérision,,"Armorce ""moquerie"" => Bonus",,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi,,Si PC utilisés => Ajustement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Équilibre,,Réduction des pénalités liés aux ressources temporaires,"Si le personnage a de la Rage ses actions de défenses subissent un malus de 2 à la place d'un désavantage, même chose pour la Garde et les actions d'attaque ou l'Adrénaline et leurs propres actions",Le malus est de 1 à la place,,,,,,,,,,,,,,,,,,,,,,,,,
Cohésion,,Si alliés à proximités => Ajustement (soi et alliés),"Si le personnage dispose d'au moins un allié à proximité, il reçoit un ajustement de 1 à ses actions de combat, l'allié en question en profite également",L'ajustement est de 2,L'ajustement est de 3,,,,,,,,,,,,,,,,,,,,,,,,
Canalisation,,Arme évoquée => PM contre Jet,"Lorsque le personnage réalise des actions de combat via une arme évoquée il peux dépenser 1 PM pour augmenter les jets via son arme de 1, maximum 3 PM",Le maximum passe à 5,Le maximum passe à 10,,,,,,,,,,,,,,,,,,,,,,,,
Animus,,Arme évoquée => Ajustement,Lorsque le personnage réalise des actions de combat via une arme évoquée il reçoit un ajustement de 1,L'ajustement est de 2,L'ajustement est de 3,,,,,,,,,,,,,,,,,,,,,,,,
Embrasement,,Arme évoquée => Action Offensive (attaque/tact) via PM ou sacrifice charge,"Lorsque le personnage réalise des actions d'attaque ou tactique via une arme évoquée il peux dépenser des PM pour obtenir un bonus de 1, ce bonus ne peux pas dépasser la différence entre la défense passive de magie de la cible et la défense passive à laquelle s'oppose l'attaque OU 2, le plus petit des deux (donc si la défense magique de la cible est trop élevée il n'est pas possible de dépenser de PM de la sorte)","Le maximum passe à 3, de plus le personnage peux décider de porter un coup final en vidant son arme évoquée de ses charges afin d'ajouter la moitié au jet de l'action","Le maximum passe à 5, si les charges sont sacrifiées le gain est de 1 pour 1",,,,,,,,,,,,,,,,,,,,,,,,
Sanctuaire,,Arme évoquée => Action Défensive (défense/tact) via PM ou sacrifice charge,"Lorsque le personnage réalise des actions de défense ou tactique via une arme évoquée il peux dépenser des PM pour obtenir un bonus de 1, ce bonus ne peux pas dépasser la différence entre la défense passive de magie de la cible et la défense passive à laquelle s'oppose l'attaque OU 2, le plus petit des deux (donc si la défense magique de la cible est trop élevée il n'est pas possible de dépenser de PM de la sorte)","Le maximum passe à 3, de plus le personnage peux décider de sacrifier son arme évoquée en vidant celle ci de ses charges afin d'ajouter la moitié au jet de l'action","Le maximum passe à 5, si les charges sont sacrifiées le gain est de 1 pour 1",,,,,,,,,,,,,,,,,,,,,,,,
Carnassier,,Blessures cible => Bonus & Jet,"Les actions de combats du personnage reçoivent un bonus de 1, ce bonus est limité par les pénalités de blessures de sa cible, il reçoit également le double en bonus à ses jets",Les bonus passent à 2 et 4,Les bonus passent à 3 et 6,,,,,,,,,,,,,,,,,,,,,,,,
Souffrance,,Blessures soi => Bonus & Jet,"Les actions de combats du personnage reçoivent un bonus de 1, ce bonus est limité par les pénalités de blessures du personnage, il reçoit également le double en bonus à ses jets",Les bonus passent à 2 et 4,Les bonus passent à 3 et 6,,,,,,,,,,,,,,,,,,,,,,,,
Impulsion,,Charge => moins de pénalités ? etc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Précision,,Tirs avec pénalités dû aux distances => Jet,"Les tirs réalisés par le personnage qui souffre de désavantage dû à la distance (trop près ou trop long), alors le jet est avantagé, si le personnage n'est pas affecté par les désavantages il ne peux profiter de cet effet","Le jet reçoit autant d'avantage que de désavantage au test le cas échéant, de plus si le test est à minima désavantagé le jet est assuré (minimum +1, soit 2)","Si le test est à minima désavantagé le jet est très très assuré (minimum +3, soit 4)",,,,,,,,,,,,,,,,,,,,,,,,
Rechargement,,Recharger lors d'un déplacement,Lorsque le personnage réalise un déplacement d'au moins 3m il peux réduire le cout en initiative de son action de rechargement de 1 s'il la réalise sur-le-champs,La réduction est de 2,"La réduction est de 3, un pas de placement peux réduire le cout de 1 à la place",,,,,,,,,,,,,,,,,,,,,,,,
Valkirie,Valkirie d'Arkadar,Attaque via un bond vertical => Bonus & Jet & criticité,"Lorsque le personnage réalise une attaque physique en tombant depuis une position plus élevée (dans sa position de départ ses pieds sont au dessus de la tête, ou du point le plus haut, de sa cible) d'au moins 3m, il profite drastiquement de la hauteur, il reçoit alors un bonus de 1 à son test, un bonus de 2 à son jet et un bonus de 1 à la criticité de l'action","Si la distance est de 5m et plus, les bonus passent respectivement à 2/4/2","Si la distance est de 7m et plus, les bonus passent à 3/6/3",,,,,,,,,,,,,,,,,,,,,,,,
Opiniâtreté,,"PE < 0 : Contre attaque ou riposte possible, il peux faire cela en plus d'une autre action rapide/interruption chaque round","Si le personnage est en état de choc et qu'il fait l'objet d'une attaque il peux décider de contre attaquer ou de riposter, l'action se fait avec une action rapide dont le cout en initiative est augmenté de 2, soit 7",Le cout est normal (5),Le cout est de 3 à la place,,,,,,,,,,,,,,,,,,,,,,,,
Obstination,,PE < 0 : Défenses accrues,Si le personnage est en état de choc il compense de 1 la perte de défense passive,Compense jusqu'à 2,Compense jusqu'à 3,,,,,,,,,,,,,,,,,,,,,,,,
Dévotion,,Défense du maitre,"Le personnage peux désigner un des participants à une confrontation comme étant son maitre, il doit pour ça avoir un lien notable avec celui ci, sinon ce n'est pas une cible valide, être d'égal à égal peux suffire mais dans ce cas l'effet est divisé par deux, toutes les actions du personnage visant à protéger le ""maitre"" reçoivent un ajustement de 2",Le bonus est de 4,Le bonus est de 6,,,,,,,,,,,,,,,,,,,,,,,,
Sérénité,,Pacifiste,Tant que le personnage n'a pas réalisé d'action agressive (attaque ou tactique) il a ses défenses passives augmentée de 1,Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Expertise,,Tir réalisé à portée longue => Maitrise,"Tant que le personnage réalise un tir à portée longue son attaque reçoit un bonus de maitrise de 2, notons qu'une telle portée implique généralement des pénalités",Le bonus est de 4,Le bonus est de 6,,,,,,,,,,,,,,,,,,,,,,,,
Portée,,Tir réalisé à portée idéale => Ajustement,"Tant que le personnage réalise un tir à portée idéale (ni courte, ni longue) son attaque reçoit un bonus d'ajustement de 1",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Proximité,,Tir réalisé à portée courte => Perforation & Attrition,"Tant que le personnage réalise un tir à portée courte son attaque reçoit un bonus de perforation et d'attrition de 1, notons qu'une telle portée implique généralement des pénalités",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Initiative,,Agir avant la cible => Ajustement,"Si le personnage réalise un test d'attaque ou tactique avant sa cible ce round ci, nécessairement unique, il profite d'un ajustement de 1 à cette dernière",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Anticipation,,Agir après la cible => Ajustement,"Si le personnage réalise un test après que sa cible, nécessairement unique ai réalisé sa passe d'arme ce round ci, il profite d'un ajustement de 1 à cette dernière",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Traquenard,,Cible piégée => Bonus,"Si le personnage réalise un test d'attaque ou tactique et que celle ci a déclanché/subit un piège ce round ci ou le round précédent, le personnage reçoit un bonus de 1",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Embuscade,,Tour de surprise => Bonus & Jet,Si le personnage réalise une action de combat durant son tour de surprise il reçoit un bonus aux tests de 1 et aux jets de 2,Les bonus passent à 2 et 4,Les bonus passent à 3 et 6,,,,,,,,,,,,,,,,,,,,,,,,
Chevalerie,,Combat à la loyal => Bonus,"Si le personnage est en combat à la loyale, c'est à dire que son adversaire et lui se sont entendus sur la raison d'être de l'affrontement (protocol, etc), alors il reçoit un bonus de 1 à ses tests de combat",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Trompeur,,Cible feintée => Bonus (2 tours),"Si le personnage réalise un test de combat contre une cible qu'il a réussis à feinter ce tour ou le tour dernier, il reçoit un bonus de 1",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Provocateur,,Cible provoquée/intimidée => Bonus (2 tours),"Si le personnage réalise un test de combat contre une cible qu'il a réussis à provoquer/intimider/détourner (manipulation) ce tour ou le tour dernier, il reçoit un bonus de 1",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Connaisseur,,Cible identifiée => Ajustement,"Si le personnage réalise un test de combat contre une cible qu'il a identifié (test de connaissance) il reçoit un ajutsment de 1, l'ajustement ne peux dépasser le degré de réussite du test de connaissance en question",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Ciblage,,Cible marquée => Jet,"Le personnage peux dépenser une action simple pour marquée mentalement une cible, il reçoit un bonus à ses jets de 1 aux actions de combat contre celle ci",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Traque,,Cible en fuite => Bonus & Jet & critique,"Si le personnage réalise un test de combat contre une cible en fuite, il reçoit un bonus aux test et en criticité de 1 et un bonus aux jets de 2",Les bonus passent à 2 et 4,Les bonus passent à 3 et 6,,,,,,,,,,,,,,,,,,,,,,,,
Territoire,,Défend son territoire => Bonus,"Si le personnage réalise un test de combat en étant sur son propre territoire alors il reçoit un bonus de 1 à ses tests de combat, le territoire peux prendre la forme d'une batisse ou d'une navire par example (mais pas une cité entière)",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Tandem,,"Combat offensif avec compagnon => Ajustement soi, Bonus compagnon","Si le personnage réalise un test de combat d'attaque ou tactique contre un adversaire qui est également en mêlée avec le compagnon animal du personnage, le test reçoit un ajustement de 1, le compagnon profite d'un effet similaire avec le personnage comme déclancheur et reçoit un bonus de 1 à la place",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Solidarité,,"Combat défensif avec compagnon => Ajustement soi, Bonus compagnon","Si le personnage réalise un test de combat de défense ou tactique contre un adversaire qui est également en mêlée avec le compagnon animal du personnage, le test reçoit un ajustement de 1, le compagnon profite d'un effet similaire avec le personnage comme déclancheur et reçoit un bonus de 1 à la place",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
